nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726434,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.511,0.513,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726435,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.543,0.513,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726436,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,1.529,0.522,TRUE,30001016;29998058;506570021,0.001,NA
mr-0xc11,1543726296,1543726438,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,1.533,0.522,TRUE,30001016;29998058;506570021,0.001,NA
mr-0xc11,1543726296,1543726442.7077398,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,1,0.164,0.721,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726442.8747234,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,2,0.141,0.73,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726443.4570742,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,1,0.575,0.73,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726444.0319138,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,2,0.567,0.721,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726444.4388502,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,1,0.398,0.734,TRUE,30001016;5065689.539,0.001,
mr-0xc11,1543726296,1543726444.809583,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,2,0.362,0.734,TRUE,30001016;5065689.539,0.001,
mr-0xc11,1543726296,1543726445.1904724,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,1,0.373,0.734,TRUE,300.01;299.98;5065.702,0.001,
mr-0xc11,1543726296,1543726445.5710924,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,2,0.373,0.734,TRUE,300.01;299.98;5065.702,0.001,
mr-0xc11,1543726296,1543726446.6929874,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,1,1.113,0.734,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1543726296,1543726447.8151274,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,2,1.113,0.734,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1543726296,1543726452.6699307,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,1,0.136,0.827,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726452.8418696,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,2,0.14,0.836,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726453.2280958,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,1,0.378,0.837,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726453.6742446,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,2,0.438,0.836,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726454.7967248,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,2,pandas,0.23.4,,.groupby,1,1.106,0.883,TRUE,30001016;50649180.662,0.007,
mr-0xc11,1543726296,1543726455.8845556,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,2,pandas,0.23.4,,.groupby,2,1.07,0.883,TRUE,30001016;50649180.662,0.006,
mr-0xc11,1543726296,1543726456.269731,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,1,0.375,0.837,TRUE,30.001;29.998;506.57,0.001,
mr-0xc11,1543726296,1543726456.6479547,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,2,0.37,0.837,TRUE,30.001;29.998;506.57,0.001,
